,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
476,frozenset({'roubo_outros'}),"frozenset({'furto_outros', 'tentativa_de_homicidio'})",0.9230769230769231,0.7884615384615384,0.7884615384615384,0.8541666666666665,1.0833333333333333,1.0,0.06065088757396442,1.4505494505494492,0.9999999999999994,0.8541666666666665,0.31060606060606,0.9270833333333333
571,frozenset({'tentativa_de_homicidio'}),"frozenset({'lesao_corporal_dolosa', 'roubo_outros'})",0.7884615384615384,0.9230769230769231,0.7884615384615384,1.0,1.0833333333333333,1.0,0.06065088757396442,inf,0.36363636363636315,0.8541666666666665,1.0,0.9270833333333333
568,"frozenset({'tentativa_de_homicidio', 'lesao_corporal_dolosa'})",frozenset({'roubo_outros'}),0.7884615384615384,0.9230769230769231,0.7884615384615384,1.0,1.0833333333333333,1.0,0.06065088757396442,inf,0.36363636363636315,0.8541666666666665,1.0,0.9270833333333333
276,"frozenset({'estupro_de_vulneravel', 'tentativa_de_homicidio'})",frozenset({'roubo_outros'}),0.7884615384615384,0.9230769230769231,0.7884615384615384,1.0,1.0833333333333333,1.0,0.06065088757396442,inf,0.36363636363636315,0.8541666666666665,1.0,0.9270833333333333
473,"frozenset({'furto_outros', 'roubo_outros'})",frozenset({'tentativa_de_homicidio'}),0.9230769230769231,0.7884615384615384,0.7884615384615384,0.8541666666666665,1.0833333333333333,1.0,0.06065088757396442,1.4505494505494492,0.9999999999999994,0.8541666666666665,0.31060606060606,0.9270833333333333
475,frozenset({'tentativa_de_homicidio'}),"frozenset({'furto_outros', 'roubo_outros'})",0.7884615384615384,0.9230769230769231,0.7884615384615384,1.0,1.0833333333333333,1.0,0.06065088757396442,inf,0.36363636363636315,0.8541666666666665,1.0,0.9270833333333333
281,frozenset({'roubo_outros'}),"frozenset({'estupro_de_vulneravel', 'tentativa_de_homicidio'})",0.9230769230769231,0.7884615384615384,0.7884615384615384,0.8541666666666665,1.0833333333333333,1.0,0.06065088757396442,1.4505494505494492,0.9999999999999994,0.8541666666666665,0.31060606060606,0.9270833333333333
75,frozenset({'tentativa_de_homicidio'}),frozenset({'roubo_outros'}),0.7884615384615384,0.9230769230769231,0.7884615384615384,1.0,1.0833333333333333,1.0,0.06065088757396442,inf,0.36363636363636315,0.8541666666666665,1.0,0.9270833333333333
554,"frozenset({'lesao_corporal_culposa_por_acidente_de_transito', 'roubo_outros'})",frozenset({'tentativa_de_homicidio'}),0.9230769230769231,0.7884615384615384,0.7884615384615384,0.8541666666666665,1.0833333333333333,1.0,0.06065088757396442,1.4505494505494492,0.9999999999999994,0.8541666666666665,0.31060606060606,0.9270833333333333
515,"frozenset({'homicidio_culposo_por_acidente_de_transito', 'tentativa_de_homicidio'})",frozenset({'roubo_outros'}),0.7115384615384616,0.9230769230769231,0.7115384615384616,1.0,1.0833333333333333,1.0,0.05473372781065089,inf,0.2666666666666667,0.7708333333333334,1.0,0.8854166666666666
